schedule_id,img_path,pcd_path,txt_path,dz_mm,max_width_mm,top_length_mm,point_idx,u,v
202511230054535706,/workspace/sequences_sample/20251123/202511230054535706/image/0000.jpg,/workspace/sequences_sample/20251123/202511230054535706/pcd/0000.pcd,/workspace/sequences_sample/20251123/202511230054535706/results/20251123_005701.txt,2346,3593,924,1,816,340
202511230054535706,/workspace/sequences_sample/20251123/202511230054535706/image/0000.jpg,/workspace/sequences_sample/20251123/202511230054535706/pcd/0000.pcd,/workspace/sequences_sample/20251123/202511230054535706/results/20251123_005701.txt,2346,3593,924,2,815,853
202511230054535706,/workspace/sequences_sample/20251123/202511230054535706/image/0000.jpg,/workspace/sequences_sample/20251123/202511230054535706/pcd/0000.pcd,/workspace/sequences_sample/20251123/202511230054535706/results/20251123_005701.txt,2346,3593,924,3,1174,359
202511230054535706,/workspace/sequences_sample/20251123/202511230054535706/image/0000.jpg,/workspace/sequences_sample/20251123/202511230054535706/pcd/0000.pcd,/workspace/sequences_sample/20251123/202511230054535706/results/20251123_005701.txt,2346,3593,924,4,1179,859
202511230141536263,/workspace/sequences_sample/20251123/202511230141536263/image/0000.jpg,/workspace/sequences_sample/20251123/202511230141536263/pcd/0000.pcd,/workspace/sequences_sample/20251123/202511230141536263/results/20251123_014341.txt,1331,3993,1026,1,829,317
202511230141536263,/workspace/sequences_sample/20251123/202511230141536263/image/0000.jpg,/workspace/sequences_sample/20251123/202511230141536263/pcd/0000.pcd,/workspace/sequences_sample/20251123/202511230141536263/results/20251123_014341.txt,1331,3993,1026,2,823,851
202511230141536263,/workspace/sequences_sample/20251123/202511230141536263/image/0000.jpg,/workspace/sequences_sample/20251123/202511230141536263/pcd/0000.pcd,/workspace/sequences_sample/20251123/202511230141536263/results/20251123_014341.txt,1331,3993,1026,3,1253,317
202511230141536263,/workspace/sequences_sample/20251123/202511230141536263/image/0000.jpg,/workspace/sequences_sample/20251123/202511230141536263/pcd/0000.pcd,/workspace/sequences_sample/20251123/202511230141536263/results/20251123_014341.txt,1331,3993,1026,4,1266,851
202511230141536264,/workspace/sequences_sample/20251123/202511230141536264/image/0000.jpg,/workspace/sequences_sample/20251123/202511230141536264/pcd/0000.pcd,/workspace/sequences_sample/20251123/202511230141536264/results/20251123_014636.txt,1313,4064,1025,1,823,319
202511230141536264,/workspace/sequences_sample/20251123/202511230141536264/image/0000.jpg,/workspace/sequences_sample/20251123/202511230141536264/pcd/0000.pcd,/workspace/sequences_sample/20251123/202511230141536264/results/20251123_014636.txt,1313,4064,1025,2,824,846
202511230141536264,/workspace/sequences_sample/20251123/202511230141536264/image/0000.jpg,/workspace/sequences_sample/20251123/202511230141536264/pcd/0000.pcd,/workspace/sequences_sample/20251123/202511230141536264/results/20251123_014636.txt,1313,4064,1025,3,1245,334
202511230141536264,/workspace/sequences_sample/20251123/202511230141536264/image/0000.jpg,/workspace/sequences_sample/20251123/202511230141536264/pcd/0000.pcd,/workspace/sequences_sample/20251123/202511230141536264/results/20251123_014636.txt,1313,4064,1025,4,1257,850
202511230141536265,/workspace/sequences_sample/20251123/202511230141536265/image/0000.jpg,/workspace/sequences_sample/20251123/202511230141536265/pcd/0000.pcd,/workspace/sequences_sample/20251123/202511230141536265/results/20251123_014913.txt,1308,3505,987,1,837,346
202511230141536265,/workspace/sequences_sample/20251123/202511230141536265/image/0000.jpg,/workspace/sequences_sample/20251123/202511230141536265/pcd/0000.pcd,/workspace/sequences_sample/20251123/202511230141536265/results/20251123_014913.txt,1308,3505,987,2,822,803
202511230141536265,/workspace/sequences_sample/20251123/202511230141536265/image/0000.jpg,/workspace/sequences_sample/20251123/202511230141536265/pcd/0000.pcd,/workspace/sequences_sample/20251123/202511230141536265/results/20251123_014913.txt,1308,3505,987,3,1181,372
202511230141536265,/workspace/sequences_sample/20251123/202511230141536265/image/0000.jpg,/workspace/sequences_sample/20251123/202511230141536265/pcd/0000.pcd,/workspace/sequences_sample/20251123/202511230141536265/results/20251123_014913.txt,1308,3505,987,4,1195,815
202511230156536365,/workspace/sequences_sample/20251123/202511230156536365/image/0000.jpg,/workspace/sequences_sample/20251123/202511230156536365/pcd/0000.pcd,/workspace/sequences_sample/20251123/202511230156536365/results/20251123_020859.txt,2357,4111,281,1,810,297
202511230156536365,/workspace/sequences_sample/20251123/202511230156536365/image/0000.jpg,/workspace/sequences_sample/20251123/202511230156536365/pcd/0000.pcd,/workspace/sequences_sample/20251123/202511230156536365/results/20251123_020859.txt,2357,4111,281,2,825,873
202511230156536365,/workspace/sequences_sample/20251123/202511230156536365/image/0000.jpg,/workspace/sequences_sample/20251123/202511230156536365/pcd/0000.pcd,/workspace/sequences_sample/20251123/202511230156536365/results/20251123_020859.txt,2357,4111,281,3,1069,282
202511230156536365,/workspace/sequences_sample/20251123/202511230156536365/image/0000.jpg,/workspace/sequences_sample/20251123/202511230156536365/pcd/0000.pcd,/workspace/sequences_sample/20251123/202511230156536365/results/20251123_020859.txt,2357,4111,281,4,1062,892
202511230207536420,/workspace/sequences_sample/20251123/202511230207536420/image/0000.jpg,/workspace/sequences_sample/20251123/202511230207536420/pcd/0000.pcd,/workspace/sequences_sample/20251123/202511230207536420/results/20251123_022245.txt,1281,3896,451,1,842,327
202511230207536420,/workspace/sequences_sample/20251123/202511230207536420/image/0000.jpg,/workspace/sequences_sample/20251123/202511230207536420/pcd/0000.pcd,/workspace/sequences_sample/20251123/202511230207536420/results/20251123_022245.txt,1281,3896,451,2,843,821
202511230207536420,/workspace/sequences_sample/20251123/202511230207536420/image/0000.jpg,/workspace/sequences_sample/20251123/202511230207536420/pcd/0000.pcd,/workspace/sequences_sample/20251123/202511230207536420/results/20251123_022245.txt,1281,3896,451,3,1146,352
202511230207536420,/workspace/sequences_sample/20251123/202511230207536420/image/0000.jpg,/workspace/sequences_sample/20251123/202511230207536420/pcd/0000.pcd,/workspace/sequences_sample/20251123/202511230207536420/results/20251123_022245.txt,1281,3896,451,4,1169,834
202511230207536422,/workspace/sequences_sample/20251123/202511230207536422/image/0000.jpg,/workspace/sequences_sample/20251123/202511230207536422/pcd/0000.pcd,/workspace/sequences_sample/20251123/202511230207536422/results/20251123_023231.txt,1229,4064,246,1,825,304
